DATE,TIME,FIELD NUMBER,SEASON,TASK
2016-10-14,PM,1A,Harvesting Season,Burning of Trash
2004-08-24,AM,2A,Planting Season,Cane Points Soaking
2024-04-01,AM,1A,Pre-Planting Season,Fertilization
2024-04-01,PM,1A,Pre-Planting Season,Irrigation
2024-04-02,AM,2A,Pre-Planting Season,Plowing/Harrowing/Furrowing
2024-04-02,PM,2A,Pre-Planting Season,Soil Sample/Analysis
2024-04-03,AM,1A,Pre-Planting Season,Ratoon Management
2024-04-03,PM,2A,Pre-Planting Season,Fertilization
2024-04-05,AM,2A,Planting Season,Cane Points Soaking
2024-04-04,PM,1A,Planting Season,Planting
2024-04-05,AM,3A,Planting Season,Stalk Stripping
2024-04-06,AM,1A,Planting Season,Planting
2024-04-06,PM,2A,Planting Season,Cane Points Soaking
2024-04-07,PM,3A,Planting Season,Cane Points Soaking
2024-04-08,AM,3A,Pre-Planting Season,Soil Sample/Analysis
2024-04-08,PM,1A,Pre-Planting Season,Irrigation
2024-04-09,AM,2A,Pre-Planting Season,Ratoon Management
2024-04-09,PM,1A,Planting Season,Planting
2024-04-10,AM,2A,Planting Season,Stalk Stripping
2024-04-11,AM,3A,Pre-Planting Season,Plowing/Harrowing/Furrowing
2024-04-11,PM,1A,Pre-Planting Season,Fertilization
2024-04-12,AM,2A,Pre-Planting Season,Soil Sample/Analysis
2024-04-12,PM,1A,Pre-Planting Season,Irrigation
2024-04-13,AM,1A,Planting Season,Stalk Stripping
2024-04-13,AM,1A,Planting Season,Cane Points Soaking
2024-04-14,AM,2A,Planting Season,Planting
2024-04-14,PM,2A,Planting Season,Cane Points Soaking
2024-04-15,AM,3A,Pre-Planting Season,Ratoon Management
2024-04-15,PM,3A,Pre-Planting Season,Fertilization
2024-05-01,AM,1A,Growing Season,Carabao Cultivation
2005-07-17,PM,10A,Pre-Planting Season,Fertilization
2005-07-17,PM,5P,Pre-Planting Season,Plowing/Harrowing/Furrowing
2005-07-17,PM,5P,Pre-Planting Season,Fertilization
2024-06-02,AM,1C,Pre-Planting Season,Irrigation
2021-01-01,PM,1A,Planting Season,Stalk Stripping
12/09/2024,AM,1A,Growing,Cultivation
12/14/2024,AM,2A,Harvesting,Cutting
12/14/2024,PM,2B,Planting,Planting
12/14/2024,AM,4A,Growing,Off-Barring
12/14/2024,AM,5A,Pre=Planting,Fertilization
12/14/2024,AM,2Z,Pre-Planting,Irrigation
